OBJECTID,CVEGEO,CVE_ENT,CVE_MUN,CVE_LOC,CVE_AGEB,CVE_MZA,AMBITO,TIPOMZA,NOM_LOC,pop_t,pop_m,pop_h,pob_nat,pob_for,pob_dis,pop_ssal,viv_t,viv_hab,H3,H4,TT,H5,H1,H2,inun_pluv,licuefacc,nivel-mar,tsunami,fallas_fra,inun_fluvi
"2759",180200053086A004,"18","020","0053",086A,"004",Urbana,Típica,Mezcales,"76","38","38","33","43","0","18","29","23",0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,100.000000000000000,0.000000000000000,100.000000000000000,0.000000000000000,0.000000000000000
"2760",180200053086A002,"18","020","0053",086A,"002",Urbana,Parque o Jardín,Mezcales,"0","0","0","0","0","0","0","0","0",0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,100.000000000000000,0.000000000000000,100.000000000000000,0.000000000000000,0.000000000000000
"2761","1802000530855041","18","020","0053","0855","041",Urbana,Parque o Jardín,Mezcales,"0","0","0","0","0","0","0","0","0",0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,100.000000000000000,0.000000000000000,100.000000000000000,0.000000000000000,0.000000000000000
"2762","1802000530516087","18","020","0053","0516","087",Urbana,Típica,Mezcales,"0","0","0","0","0","0","0","1","0",0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,100.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
"2763","1802000530516086","18","020","0053","0516","086",Urbana,Típica,Mezcales,"11","4","7","5","6","0","5","3","3",0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,100.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
"2764","1802000530516069","18","020","0053","0516","069",Urbana,Típica,Mezcales,"3","0","0","0","0","0","0","1","1",0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,100.000000000000000,0.000000000000000,36.717141325862137,0.000000000000000,0.000000000000000
"2765","1802000530516068","18","020","0053","0516","068",Urbana,Típica,Mezcales,"40","19","21","10","30","0","15","16","13",0.000000000000000,0.000000000000000,0.000000000000000,100.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,100.000000000000000,0.000000000000000,3.350737778674602,0.000000000000000,0.000000000000000
"2766","1802000530516066","18","020","0053","0516","066",Urbana,Típica,Mezcales,"45","21","24","19","26","0","15","14","11",0.000000000000000,0.000000000000000,0.000000000000000,100.000000000000014,0.000000000000000,0.000000000000000,0.000000000000000,100.000000000000014,0.000000000000000,69.837996664170532,0.000000000000000,0.000000000000000
"2767","1802000530516064","18","020","0053","0516","064",Urbana,Típica,Mezcales,"41","20","21","8","33","0","14","11","8",0.000000000000000,0.000000000000000,0.000000000000000,99.999999999999986,0.000000000000000,0.000000000000000,0.000000000000000,99.999999999999986,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
"2768","1802000530516062","18","020","0053","0516","062",Urbana,Típica,Mezcales,"20","9","11","3","17","0","6","13","10",0.000000000000000,0.000000000000000,0.000000000000000,100.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,100.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
